id,app,category,one_liner,primary_auth,auth_methods,access,access_note,api_surface,api_breadth,has_mcp,verdict,blocker,build_score,effort,lane,in_composio,composio_slug,browser_access,reachability,probe_url,evidence
11,Zendesk,Support and Helpdesk,Customer support ticketing and helpdesk platform.,OAUTH2,OAUTH2|BEARER_TOKEN|BASIC|API_KEY|JWT,self_serve_free,Developers can sign up for a trial account and self-issue API tokens or OAuth credentials in the Admin Center.,rest,broad,True,build_now,,94.0,L,build_now,True,zendesk,,not_probeable,https://{subdomain}.zendesk.com/api/v2/users.json,https://developer.zendesk.com/api-reference/introduction/security-and-auth/ https://www.zendesk.com/pricing/ https://support.zendesk.com/hc/en-us/articles/10497779528730-Connecting-to-MCP-servers-and-using-MCP-tools-in-action-flows https://developer.zendesk.com/documentation/conversations/getting-started/api-authentication/
12,Intercom,Support and Helpdesk,"Customer support platform providing messaging, ticketing, and help center APIs.",OAUTH2,BEARER_TOKEN|OAUTH2,plan_gated,API access requires upgrading to a paid Intercom plan (starting at $29/seat/mo for Essential). No permanent free API tier is available.,rest,broad,True,build_with_caveats,No permanent free API tier; developers must purchase a paid plan to access and test the API.,74.1,L,build_now,True,intercom,no_gate_found,live_and_gated,https://api.intercom.io/me,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication https://pipeline.zoominfo.com/sales/intercom-api https://developers.intercom.com/docs/guides/mcp
13,Freshdesk,Support and Helpdesk,"Cloud-based customer support ticketing system for managing conversations, agents, and helpdesk workflows.",API_KEY,BASIC|API_KEY,self_serve_free,Freshdesk offers a free tier for up to 2 users. Developers can sign up and self-issue an API key to authenticate API requests.,rest,broad,True,build_now,,99.3,L,build_now,True,freshdesk,,not_probeable,https://{domain}.freshdesk.com/api/v2/tickets,https://developers.freshdesk.com/api/ https://www.freshworks.com/freshdesk/pricing/ https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-
14,Front,Support and Helpdesk,"Customer operations platform that unifies email, chat, SMS, and voice inboxes for support teams.",OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,Developers can sign up for a free developer environment and self-issue API tokens. OAuth2 is required for public app store integrations.,rest,broad,True,build_now,,94.1,L,build_now,False,,approval_required,live_and_gated,https://api2.frontapp.com/conversations/cnv_123/drafts,https://dev.frontapp.com/docs/welcome https://dev.frontapp.com/docs/authentication https://dev.frontapp.com/reference/introduction
15,Pylon,Support and Helpdesk,"B2B customer support platform offering ticketing, account management, and AI integrations.",BEARER_TOKEN,BEARER_TOKEN|OAUTH2,plan_gated,API access is available starting from the Professional plan ($89/seat/mo). Only Admin users can generate API tokens.,rest,moderate,True,build_with_caveats,"API access requires a paid Professional plan, and token creation is restricted to Admin users.",69.7,S,quick_win,True,pylon_mcp,partner_gated,live_and_gated,https://api.usepylon.com/me,https://docs.usepylon.com/pylon-docs/developer/api/authentication https://docs.usepylon.com/pylon-docs/developer/api https://www.featurebase.app/blog/pylon-pricing https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp
16,LiveAgent,Support and Helpdesk,"Integrated customer support software offering ticketing, live chat, and helpdesk capabilities.",API_KEY,API_KEY,self_serve_free,Developers can sign up for an account and self-issue an API key from the panel.,rest,broad,False,build_now,,88.4,L,build_now,False,,,live_open,https://support.liveagent.com/840770-Complete-API-reference,https://support.liveagent.com/066804-LiveAgent-API https://support.liveagent.com/840770-Complete-API-reference
17,Plain,Support and Helpdesk,Customer support platform for B2B SaaS companies.,API_KEY,API_KEY,self_serve_free,Developers can sign up for a free workspace and self-issue an API key from the UI.,graphql,broad,False,build_now,,87.8,L,build_now,True,plain,,not_probeable,,https://tyk.io/docs/portal/api-plans https://modelcontextprotocol.io/docs/2026-07-28/learn/architecture
18,Help Scout,Support and Helpdesk,"Shared inbox, knowledge base, and live chat software for customer support.",OAUTH2,OAUTH2|BEARER_TOKEN,plan_gated,Free plan does not include API access. Requires at least Standard plan ($25/user/mo) or higher for API access.,rest,broad,False,build_with_caveats,"API access is not available on the free plan, requiring a paid subscription to obtain credentials and build integrations.",64.0,L,build_now,True,help_scout,no_gate_found,unreachable,https://api.helpscout.com/v2/users/me,https://docs.helpscout.com/article/1140-mailbox-api https://www.helpscout.com/pricing/
19,Gorgias,Support and Helpdesk,E-commerce helpdesk and customer support platform.,OAUTH2,OAUTH2|BASIC,self_serve_free,Private apps can use REST API credentials from Settings. Public apps require Developer Portal signup and app review.,rest,broad,True,build_now,,93.7,L,build_now,True,gorgias,,not_probeable,,https://docs.gorgias.com/en-US/articles/developer-resources-18370 https://developers.gorgias.com/ https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546
20,Gladly,Support and Helpdesk,Customer service platform treating support as ongoing conversations across channels with agent and customer APIs.,BASIC,BASIC|JWT,approval_required,Requires an Administrator to grant the 'API User' permission to an agent profile before API tokens can be created.,rest,broad,False,build_with_caveats,Outside developers cannot self-issue an API token; an existing Gladly Administrator must manually grant API User permissions to an agent profile.,58.6,L,needs_outreach,False,,partner_gated,not_probeable,,https://developer.gladly.com/rest/ https://developer.gladly.com/
21,Slack,Communications and Messaging,"Messaging and collaboration platform offering workspace chat, channels, canvases, and search capabilities.",OAUTH2,OAUTH2,approval_required,MCP access is restricted to directory-published apps or internal apps; unlisted apps are prohibited. Requires standard Slack app approval process.,rpc,moderate,True,build_with_caveats,"Unlisted apps are prohibited from using MCP; app must be published in the Slack Marketplace or be an internal app, requiring admin approval/review.",56.7,M,needs_outreach,True,slack,no_gate_found,live_open,https://slack.com/api/auth.test,https://docs.slack.dev/ai/slack-mcp-server https://slack.com/help/articles/48855576908307-Guide-to-Model-Context-Protocol-in-Slack
22,Twilio,Communications and Messaging,"Programmable communications APIs for SMS, voice, video, email, and authentication.",BASIC,BASIC|API_KEY,self_serve_free,"Start for free, then pay as you go. Developers can self-issue API keys in the Twilio Console.",rest,broad,True,build_now,,98.0,L,build_now,False,,,live_and_gated,https://accounts.twilio.com/v1/Credentials/PublicKeys?PageSize=20,https://www.twilio.com/docs/iam/credentials/api https://www.twilio.com/en-us/pricing https://github.com/twilio-labs/mcp
23,Zoho Cliq,Communications and Messaging,"Team communication and collaboration platform offering chat, channels, meetings, and a developer platform for bots and integrations.",OAUTH2,OAUTH2,self_serve_free,Developers can register an application and self-issue OAuth2 credentials. The product has a Free tier and a free trial for paid plans.,rest,broad,True,build_now,,94.1,L,build_now,False,,,path_not_found,https://cliq.zoho.com/api/v3/users/me,https://www.zoho.com/cliq/help/restapi/v3/introduction/ https://www.zoho.com/cliq/pricing.html https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html
24,Lark (Larksuite),Communications and Messaging,"Enterprise communications and productivity suite offering messaging, docs, calendar, and automation APIs.",OAUTH2,OAUTH2|S2S_OAUTH2,self_serve_free,"Developer access is included in every plan, including the free Starter tier. Core APIs are free, while Advanced APIs require buying a dedicated quota package.",rest,broad,True,build_now,,94.1,L,build_now,False,,,http_400,https://open.larksuite.com/open-apis/contact/v3/scopes,https://open.larksuite.com/document/server-docs/getting-started/server-api-list?from=home https://www.larksuite.com/en_us/plans https://github.com/larksuite/lark-openapi-mcp
25,Pumble,Communications and Messaging,Team chat and messaging app for workplace communication.,API_KEY,API_KEY|BEARER_TOKEN,self_serve_free,"API addon is available on all plans, including Free. Users can self-install the addon and generate an API key directly from the workspace.",rest,moderate,True,build_now,,89.9,S,build_now,False,,no_gate_found,live_open,https://pumble-api-keys.addons.marketplace.cake.com/api-docs/,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/ https://pumble.com/help/integrations/automation-workflow-integrations/how-to-use-the-pumble-mcp-server/ https://pumble.com/pricing
26,Discord,Communications and Messaging,"API for building bots, integrations, and applications that interact with Discord guilds, channels, messages, and users.",OAUTH2,OAUTH2|S2S_OAUTH2|BEARER_TOKEN,self_serve_free,Developers can register an application and self-issue tokens for free; certain sensitive scopes require partner approval or app review.,rest,broad,False,build_now,,83.7,L,build_now,True,discord,,live_and_gated,https://discord.com/api/users/@me,https://docs.discord.com/developers/topics/oauth2 https://docs.discord.com/developers/reference https://support-dev.discord.com/hc/en-us/articles/8562894815383-Discord-Developer-Terms-of-Service
27,Telegram,Communications and Messaging,Cloud-based instant messaging platform with APIs for bots and client integrations.,API_KEY,API_KEY|OAUTH2,self_serve_free,Bot API is free for unlimited bots; developers can self-issue tokens via BotFather. Client API requires free api_id and api_hash from Telegram core.,rest,broad,False,build_now,,88.7,L,build_now,True,telegram,,path_not_found,https://api.telegram.org/bot<token>/getMe,https://core.telegram.org/ https://www.linkedin.com/pulse/telegram-bot-api-pricing-2026-free-vs-paid-tiers-explained-rp16f https://github.com/sparfenyuk/mcp-telegram
28,WhatsApp Business,Communications and Messaging,"API for sending and receiving WhatsApp messages, media, and templates for business communications.",S2S_OAUTH2,S2S_OAUTH2|BEARER_TOKEN,self_serve_free,"Developers can register via Meta for Developers, create a WhatsApp Business account, and self-issue a permanent access token to test the API.",rest,moderate,False,build_now,,72.2,L,build_now,True,whatsapp,,not_probeable,,https://developers.facebook.com/documentation/business-messaging/whatsapp/pricing https://whatsappbusiness.com/products/platform-pricing/
29,Aircall,Communications and Messaging,"Cloud-based phone system and call center software offering voice, messaging, and conversation intelligence APIs.",BASIC,BASIC|OAUTH2,plan_gated,Requires a paid Aircall plan (Essentials at $30/user/month) to generate API credentials. OAuth 2.0 for marketplace apps requires contacting marketplace@aircall.io for approval.,rest,broad,False,build_with_caveats,Rate limits are not publicly documented. No official server-side SDKs. OAuth credentials for multi-tenant apps require manual approval.,67.1,L,build_now,False,,approval_required,live_and_gated,https://api.aircall.io/v1/users,https://aircall.io/pricing/ https://pipeline.zoominfo.com/sales/aircall-api-review https://github.com/themobilefirstco/aircall-mcp-server
30,Vonage,Communications and Messaging,"Suite of APIs for SMS, voice, video, and in-app messaging, with native MCP server support for AI agents.",JWT,JWT|API_KEY,self_serve_free,Developers can sign up for a free account with free credit and no credit card required to self-issue API credentials.,rest,broad,True,build_now,,91.1,L,build_now,False,,,not_probeable,,https://developer.vonage.com/en/mcp-server/overview https://www.vonage.com/communications-apis/pricing/
31,Google Ads,"Marketing, Ads, Email and Social","Programmatic interface to manage large or complex Google Ads accounts, campaigns, and reporting.",OAUTH2,OAUTH2|S2S_OAUTH2,approval_required,Requires a developer token from a Google Ads manager account. Basic access is granted automatically but full standard access requires an application and manual review by Google.,rest,broad,True,build_with_caveats,"Requires a Google Ads developer token. While basic access is self-serve, full standard access for production requires manual application review and approval by Google.",65.4,L,needs_outreach,True,googleads,,not_probeable,,https://developers.google.com/google-ads/api/docs/get-started/introduction https://developers.google.com/google-ads/api/docs/developer-toolkit/mcp-server https://groups.google.com/g/adwords-api/c/33Z85Q3gkWU
32,Meta Ads,"Marketing, Ads, Email and Social","Manage Meta ad campaigns, creatives, reporting, and catalogs across Facebook and Instagram.",OAUTH2,OAUTH2,approval_required,Requires creating a Meta app and submitting it for App Review to gain access to marketing API scopes.,rest+graphql,broad,True,build_with_caveats,"Requires Meta App Review and approval for advanced marketing API access, which can take time and requires business verification.",65.4,L,needs_outreach,True,metaads,,path_not_found,,https://developers.facebook.com/documentation/ads-commerce/ads-ai-connectors/ads-mcp-server/ads-mcp-server-overview https://github.com/pipeboard-co/meta-ads-mcp
33,LinkedIn Ads,"Marketing, Ads, Email and Social","Manage LinkedIn ad campaigns, creatives, audiences, and retrieve analytics and performance reports.",OAUTH2,OAUTH2,approval_required,"Requires creating a developer app and requesting 'Advertising API' access via the Products tab, which takes 1-5 days for approval.",rest,broad,False,build_with_caveats,"Access requires requesting 'Advertising API' product access which takes 1-5 days for manual approval, preventing immediate testing.",55.6,L,needs_outreach,True,linkedin_ads,,not_probeable,,https://mcpservers.org/servers/danielpopamd/linkedin-ads-mcp https://medium.com/@proxycurl/the-linkedin-api-pricing-guide-you-need-and-how-to-get-access-d2bf20242944
34,GoHighLevel,"Marketing, Ads, Email and Social","CRM and marketing automation platform providing REST APIs for contacts, calendars, pipelines, and messaging.",OAUTH2,OAUTH2|BEARER_TOKEN,plan_gated,"Basic API access (Location API keys) on Starter/Unlimited plans. Advanced OAuth, Agency API keys, and multi-account management require the Agency Pro plan ($497/mo).",rest,broad,True,build_with_caveats,Full advanced OAuth 2.0 capabilities and agency-wide multi-account management are gated behind the Agency Pro plan ($497/mo).,73.8,L,build_now,True,highlevel,,live_and_gated,https://services.leadconnectorhq.com/mcp/,https://help.gohighlevel.com/support/solutions/articles/48001060529-highlevel-api-documentation https://marketplace.gohighlevel.com/docs/other/mcp/ https://benchling.com/gohighlevel/f/lib_PXRgrNkov5-gohighlevel/etr_SrJEMhuEUs-gohighlevel-api-documentation-complete-guide-features-free-trial/edit?m=slm-lTtYqR1nQkc0ibDmGoDl
35,Mailchimp,"Marketing, Ads, Email and Social","Email marketing and automation platform with APIs for managing audiences, campaigns, and transactional email.",OAUTH2,OAUTH2|API_KEY|BASIC|BEARER_TOKEN,self_serve_free,"Requires a Mailchimp account; users can self-issue an API key. Free tier is available, though specific API capabilities depend on the account's paid plan level.",rest,broad,True,build_now,,94.2,L,build_now,True,mailchimp,,not_probeable,,https://mailchimp.com/developer/marketing/docs/fundamentals/ https://mailchimp.com/developer/transactional/guides/how-to-use-mailchimps-transactional-messaging-mcp/
36,Klaviyo,"Marketing, Ads, Email and Social",Email and SMS marketing automation platform with customer data analytics.,API_KEY,API_KEY|OAUTH2,self_serve_free,Developers can create a free test account and self-issue API credentials. MCP server is available to all customers.,rest,broad,True,build_now,,99.2,L,build_now,True,klaviyo,,live_and_gated,https://a.klaviyo.com/api/profiles,https://developers.klaviyo.com/en/docs/get_started https://developers.klaviyo.com/en/docs/klaviyo_mcp_server https://www.klaviyo.com/pricing
37,systeme.io,"Marketing, Ads, Email and Social","All-in-one marketing platform for building funnels, sending newsletters, and managing contacts.",API_KEY,API_KEY,self_serve_free,Users can generate MCP keys directly in their account settings under 'MCP & API keys'.,rpc,moderate,True,build_now,"Keys expire after 90 days, max 2 keys allowed, and OAuth is not yet supported. API surface is currently limited to MCP tools rather than a standard REST/GraphQL API.",89.1,S,build_now,False,,no_gate_found,live_open,,https://help.systeme.io/article/9489-how-to-use-systeme-ios-mcp https://help.systeme.io/category/11216-model-context-protocol-mcp
38,Pinterest,"Marketing, Ads, Email and Social","API to manage organic Pins and Boards, ad campaigns, product catalogs, and conversion data.",OAUTH2,OAUTH2,approval_required,"Developers must submit app details and privacy policy for Trial access, then submit a video demo for Standard access review.",rest,broad,False,build_with_caveats,"Initial access is Trial only, restricting created Pins/Boards to sandbox visibility and imposing lower rate limits. Upgrading to Standard access requires submitting a video demo for manual review.",55.8,L,needs_outreach,True,pinterest,,live_and_gated,https://api.pinterest.com/v5/user_account,https://developers.pinterest.com/docs/key-concepts/access-tiers/ https://developers.pinterest.com/
39,Threads (Meta),"Marketing, Ads, Email and Social","Official API to publish posts, replies, and insights for Threads profiles.",OAUTH2,OAUTH2,approval_required,"Free with no published paid tier, but production access for non-testers requires Meta App Review.",rest,narrow,False,build_with_caveats,Production access requires Meta App Review. Long-lived tokens expire in 60 days and require manual re-permission flows for private profiles.,38.9,M,needs_outreach,False,,,http_400,https://graph.threads.com/v1.0/{threads-user-id}/threads_publishing_limit,https://developers.facebook.com/documentation/threads/overview https://www.blotato.com/blog/threads-api-pricing
40,SendGrid,"Marketing, Ads, Email and Social",Cloud-based email delivery platform for transactional and marketing emails via SMTP relay and REST APIs.,API_KEY,API_KEY|BEARER_TOKEN,self_serve_free,Developers can sign up for a free 60-day trial (no credit card required) and self-issue API keys with restricted or full access directly from the dashboard.,rest,broad,False,build_now,,89.3,L,build_now,True,sendgrid,,not_probeable,,https://www.twilio.com/en-us/products/email-api/pricing https://www.twilio.com/en-us/blog/developers/community/build-a-sendgrid-mcp-server-for-ai-email-workflows
41,Shopify,Ecommerce,"Ecommerce platform with REST and GraphQL APIs for managing store data, orders, and storefronts.",OAUTH2,OAUTH2|S2S_OAUTH2,self_serve_free,"Building with the API is free for developers, though some features require specific Shopify plans or manual approval.",rest+graphql,broad,True,build_now,,93.6,L,build_now,True,shopify,approval_required,not_probeable,,https://shopify.dev/docs/api/usage https://www.shopify.com/enterprise/blog/ecommerce-api https://shopify.dev/docs/apps/build/storefront-mcp https://shopify.dev/docs/apps/build/ai-toolkit
42,WooCommerce,Ecommerce,"Open-source WordPress ecommerce plugin that provides REST APIs for managing store data, orders, and customer-facing cart functionality.",BASIC,BASIC|NO_AUTH,self_serve_free,API keys are generated directly within the free core WooCommerce plugin dashboard without vendor intervention.,rest,broad,False,build_now,"API is hosted on the merchant's own WordPress installation (per-tenant hosts), requiring the developer to dynamically handle varying store URLs rather than a single centralized API endpoint.",87.5,L,build_now,False,,,not_probeable,https://example.com/wp-json/wc/v3/orders,https://developer.woocommerce.com/docs/apis/rest-api/ https://woocommerce.com/document/woocommerce-rest-api/ https://developer.woocommerce.com/docs/apis/store-api/
43,BigCommerce,Ecommerce,"Headless ecommerce platform with REST and GraphQL APIs to manage store data, products, orders, and storefronts.",OAUTH2,OAUTH2|BEARER_TOKEN|JWT,self_serve_free,Developers can sign up for a free trial sandbox store and self-issue API credentials from the store control panel.,rest+graphql,broad,False,build_now,,84.5,L,build_now,False,,,not_probeable,https://api.bigcommerce.com/stores/{{STORE_HASH}}/v3/catalog/products,https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts https://docs.bigcommerce.com/
44,Salesforce Commerce Cloud,Ecommerce,"Headless commerce platform providing APIs for storefronts, products, pricing, orders, and inventory.",OAUTH2,OAUTH2|BEARER_TOKEN,approval_required,"Requires a client ID and secret from Account Manager, tied to an enterprise Commerce Cloud instance. Pricing is 'Contact for Pricing'.",rest,broad,True,build_with_caveats,No self-serve developer sandbox or credential issuance available without an enterprise account or sales contact.,65.2,L,needs_outreach,False,,,not_probeable,,https://developer.salesforce.com/docs/commerce/commerce-api/references/price-books https://www.salesforce.com/commerce/pricing/ https://www.salesforce.com/agentforce/mcp-support/model-context-protocol/
45,Magento (Adobe Commerce),Ecommerce,"Enterprise ecommerce platform providing REST and GraphQL APIs for storefronts, catalog, and backend integrations.",OAUTH2,OAUTH2|BEARER_TOKEN|S2S_OAUTH2,partner_gated,Adobe Commerce is an enterprise product requiring a consultation or partner engagement to provision. Magento Open Source allows self-issued tokens but lacks enterprise APIs.,rest+graphql,broad,False,build_with_caveats,"Acquiring an Adobe Commerce (SaaS/PaaS) instance requires contacting sales or a partner, preventing a developer from self-provisioning a sandbox to build and test integrations immediately.",47.1,L,needs_outreach,False,,,not_probeable,,https://developer.adobe.com/commerce/webapi/rest/ https://business.adobe.com/products/commerce.html https://github.com/rafaelstz/adobe-commerce-dev-mcp
46,Squarespace,Ecommerce,"Website builder and ecommerce platform offering APIs for commerce, orders, and inventory management.",API_KEY,API_KEY,self_serve_free,Developers can create an account and self-issue API keys to access the platform's APIs.,rest,moderate,False,build_now,,78.5,S,build_now,False,,,not_probeable,,https://support.squarespace.com/hc/en-us/articles/236297987-Squarespace-API-keys https://developer.squareup.com/docs/mcp
47,Ecwid,Ecommerce,"Ecommerce platform with REST API for managing store data, products, orders, and customers.",OAUTH2,OAUTH2|BEARER_TOKEN,plan_gated,"API access requires an Ecwid paid plan (Venture, Business, or Unlimited). Developers can self-issue tokens for custom apps without manual approval.",rest,broad,False,build_with_caveats,"API access is gated behind paid subscription tiers (Venture, Business, Unlimited). Developers must sign up for a paid plan to get credentials, though no manual approval is required.",63.4,L,build_now,False,,approval_required,not_probeable,,https://docs.ecwid.com/get-started/make-your-first-api-request https://support.ecwid.com/hc/en-us/articles/4938302203932-Adding-more-features-to-your-store-via-Ecwid-s-API https://docs.ecwid.com/api-reference
48,Gumroad,Ecommerce,"Platform for creators to sell digital products, subscriptions, and courses.",OAUTH2,OAUTH2|API_KEY,self_serve_free,Developers can register an OAuth application and self-issue an access token via the Gumroad dashboard without manual approval.,rest,broad,False,build_now,,83.6,L,build_now,True,gumroad,,path_not_found,https://app.gumroad.com/api/user,https://app.gumroad.com/api https://www.youtube.com/watch?v=y3vtvmnw0sc https://github.com/rmarescu/gumroad-mcp
49,Amazon Selling Partner,Ecommerce,"REST API for Amazon sellers and vendors to programmatically manage orders, listings, pricing, and reports.",OAUTH2,OAUTH2|S2S_OAUTH2,self_serve_paid,Requires a Professional selling account ($39.99/month) to register a developer profile and self-authorize credentials.,rest,broad,False,build_now,Requires a paid Professional selling account ($39.99/month) to create a developer profile and access credentials.,75.2,L,build_now,False,,,not_probeable,,https://sell.amazon.com/developers https://developer.amazonservices.com/ https://docs.aws.amazon.com/partner-central/latest/developer-guide/partner-central-mcp-server.html https://github.com/jay-trivedi/amazon_sp_mcp
50,fanbasis,Ecommerce,Ecommerce and payments platform for creators and digital businesses.,API_KEY,UNKNOWN,plan_gated,API access is available on the $20/month Pro plan.,rest,unknown,False,build_with_caveats,"Public API docs are gated behind a login, preventing independent evaluation of auth methods and API breadth without an active account.",51.6,M,park,False,,approval_required,not_probeable,,https://www.linkedin.com/posts/christinadodge_fanbasis-enterprise-payments-that-make-activity-7446934829348245504-bQEM https://dev-docs.fanbasis.com/
51,DataForSEO,"Data, SEO and Scraping","Provides SEO, SERP, and marketing data APIs for integrating search and competitor analytics into applications.",BASIC,BASIC,self_serve_paid,Self-serve registration with a $50 minimum pay-as-you-go payment to fund the account and use the APIs.,rest,broad,True,build_now,,89.3,L,build_now,True,dataforseo,,not_probeable,,https://dataforseo.com/pricing https://dataforseo.com/model-context-protocol
52,SE Ranking,"Data, SEO and Scraping","SEO platform offering APIs for rank tracking, keyword research, backlinks, site audits, and AI search visibility.",API_KEY,API_KEY|OAUTH2,self_serve_paid,"Developers can self-issue an API key from the dashboard. API usage is billed via a credit system, requiring a paid subscription or credits for data access.",rest,broad,True,build_now,,90.8,L,build_now,False,,no_gate_found,live_and_gated,https://api.seranking.com/v1/account/subscription,https://seranking.com/api/data/getting-started/ https://seranking.com/api/integrations/mcp/ https://seranking.com/api/project/
53,Ahrefs,"Data, SEO and Scraping","Provides SEO and marketing data APIs for backlinks, keywords, rank tracking, and site audits.",API_KEY,API_KEY|OAUTH2,plan_gated,"Full API access requires an eligible paid plan (Enterprise historically, currently Lite or higher for MCP). Free test queries are available without a paid plan.",rest,broad,True,build_with_caveats,"Full API access is gated behind an eligible paid subscription tier, though limited free test queries are available for development.",79.3,L,build_now,True,ahrefs,no_gate_found,live_and_gated,https://api.ahrefs.com/v3/site-explorer/refdomains,https://docs.ahrefs.com/en/api/docs/introduction https://docs.ahrefs.com/en/mcp/docs/introduction
